Bitlink,Custom Bitlink,Date Created,Title,Long URL,Clicks for all time,Status
https://bit.ly/3EAk5nO,,12/28/2021,A3,https://www.theguardian.com/global-development/2021/jan/25/the-lockdown-was-political-chad-under-strain-ahead-of-election,0,
https://bit.ly/3eyFqmY,,12/28/2021,A2,https://www.worldbank.org/en/news/press-release/2020/05/19/world-bank-group-100-countries-get-support-in-response-to-covid-19-coronavirus,0,
https://bit.ly/3zkf6XD,,12/28/2021,A50,https://www.joe.co.uk/news/vienna-brothel-offers-customers-30-minutes-with-lady-of-their-choice-in-exchange-for-covid-jab-298998,1,
https://bit.ly/3FBsmsV,,12/28/2021,A1,https://www.theweek.co.uk/106658/half-the-world-s-countries-ask-for-imf-bailout,0,
https://bit.ly/345RXfS,,12/28/2021,A13,https://www.theweek.co.uk/coronavirus/106370/where-does-bailout-money-come-from-and-who-will-pay-for-it,0,
https://n.pr/32BRIsm,,12/28/2021,A9,https://www.npr.org/2021/03/17/978336051/tanzania-president-john-magufuli-a-covid-19-skeptic-has-died,0,
https://bit.ly/32r1D4f,,12/28/2021,A25,https://www.youtube.com/watch?v=VHRkkeecg7c,0,
https://bit.ly/3JmRA0x,,12/28/2021,A15,https://www.irishtimes.com/business/media-and-marketing/germany-offers-220m-in-supports-to-print-media-but-some-are-sceptical-1.4330551,0,
https://bit.ly/3HmymGm,,12/28/2021,A32,https://www.hsj.co.uk/stevens-condemns-videoing-of-empty-hospitals/7029270.article,0,
https://bit.ly/3zkfchX,,12/28/2021,A5,https://www.voanews.com/a/africa_cameroon-investigates-missing-335-million-covid-funds/6206445.html,0,
https://bit.ly/317m0mj,,12/28/2021,A41,https://www.ncass.org.uk/covid-certification/,0,
https://bit.ly/3FASjsL,,12/28/2021,A33,https://www.huffingtonpost.co.uk/entry/nightingale-hospitals-covid-patient-numbers_uk_605a0dd6c5b6cebf58d220eb,0,
https://reut.rs/32vWXde,,12/28/2021,A8,https://www.reuters.com/article/us-health-coronavirus-tanzania-idUSKBN22F0KF,0,
https://bit.ly/3pBND0i,,12/28/2021,A45,https://www.weforum.org/agenda/2020/10/covid-19-accelerated-the-future-of-jobs-here-s-how-to-protect-workers-9edb26584d/,0,
https://bit.ly/3sC1TId,,12/28/2021,A14,https://www.shearman.com/Perspectives/2020/04/COVID-19-France-State-Guarantee-Scheme-for-New-Money-Loans,1,
https://politi.co/3g7tmde,,01/28/2022,A27,https://www.politico.eu/article/eu-europe-digital-id/,0,
https://bit.ly/3rWEejL,,01/28/2022,A46,https://www.gov.uk/government/news/new-funding-to-support-schools-and-colleges-during-covid-pandemic,0,
https://cnn.it/3g3sPZZ,,01/28/2022,A47,https://edition.cnn.com/2021/09/05/politics/school-federal-covid-relief-money/index.html,0,
